method,scene,FDP_mean,FDP_sd,FDP_se,FDP_ci_low,FDP_ci_high,FDP_n,power_mean,power_sd,power_se,power_ci_low,power_ci_high,power_n,rmse_mean,rmse_sd,rmse_se,rmse_ci_low,rmse_ci_high,rmse_n
dl_score_only,linear_dense,0.008333333333333333,0.0251259453814803,0.00251259453814803,0.0033478006584718827,0.013318866008194784,100,0.7933333333333331,0.02010075630518427,0.002010075630518427,0.789344907193444,0.7973217594732223,100,1.0940303928370205,0.04521159524772906,0.004521159524772906,1.0850594314674913,1.1030013542065498,100
dl_score_only,linear_medium,0.17000000000000007,0.016412198797244364,0.0016412198797244363,0.1667434636934978,0.17325653630650234,100,0.996,0.019694638556693234,0.0019694638556693234,0.9920921564321973,0.9999078435678027,100,1.0723453784287136,0.03997682091599573,0.003997682091599572,1.064413109855819,1.0802776470016082,100
dl_score_only,linear_sparse,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100,0.6378811865135673,0.03296507311400724,0.003296507311400724,0.6313402008255137,0.6444221722016209,100
dl_score_only,linear_weak,0.24583333333333335,0.06739397042970968,0.006739397042970968,0.23246090747772286,0.25920575918894384,100,0.9050000000000002,0.08087276451565162,0.008087276451565161,0.8889530889732676,0.9210469110267329,100,1.8878772448224084,0.06870820801448987,0.006870820801448988,1.8742440457173948,1.901510443927422,100
dl_score_only,nonlinear,0.2975,0.07325887710848707,0.007325887710848707,0.2829638494192848,0.31203615058071515,100,0.843,0.08791065253018449,0.008791065253018449,0.8255566193031418,0.8604433806968581,100,1.1747589360878958,0.10479310990069848,0.010479310990069848,1.153965709581268,1.1955521625945236,100
dl_score_only,nonlinear_panel,0.28833333333333333,0.07341669580786482,0.007341669580786482,0.27376586809876113,0.3029007985679055,100,0.8540000000000002,0.08810003496943779,0.008810003496943778,0.8365190417185135,0.8714809582814869,100,1.14500154132226,0.0995741353604562,0.00995741353604562,1.1252438725908562,1.164759210053664,100
elastic_net,linear_dense,0.0,0.0,0.0,0.0,0.0,100,0.7999999999999998,2.2316322462394835e-16,2.2316322462394835e-17,0.7999999999999998,0.7999999999999998,100,1.101182923935089,0.050462177457069005,0.0050462177457069,1.0911701331430534,1.1111957147271245,100
elastic_net,linear_medium,0.1666666666666667,5.579080615598709e-17,5.579080615598709e-18,0.1666666666666667,0.1666666666666667,100,1.0,0.0,0.0,1.0,1.0,100,1.072363766648279,0.03931861112612898,0.003931861112612898,1.0645621011776547,1.0801654321189034,100
elastic_net,linear_sparse,0.5833333333333334,0.0,0.0,0.5833333333333334,0.5833333333333334,100,1.0,0.0,0.0,1.0,1.0,100,0.6358084335539591,0.03311026566085873,0.003311026566085873,0.6292386385146359,0.6423782285932823,100
elastic_net,linear_weak,0.1841666666666667,0.03611111111111112,0.0036111111111111122,0.17700143878621868,0.19133189454711472,100,0.9790000000000001,0.04333333333333333,0.004333333333333333,0.9704017265434625,0.9875982734565377,100,1.8829106966341904,0.06744330045736094,0.0067443300457360935,1.8695284826308716,1.8962929106375093,100
elastic_net,nonlinear,0.5108333333333333,0.08836255154913676,0.008836255154913677,0.4933002860670975,0.528366380599569,100,0.5870000000000001,0.10603506185896412,0.010603506185896412,0.5659603432805173,0.6080396567194829,100,1.233807683053829,0.10431676480536502,0.010431676480536502,1.213108973748494,1.254506392359164,100
elastic_net,nonlinear_panel,0.5058333333333334,0.11314737665538477,0.011314737665538477,0.48338243905549816,0.5282842276111686,100,0.5930000000000001,0.13577685198646172,0.013577685198646171,0.5660589268665979,0.6199410731334023,100,1.2099479237912731,0.10470571605601348,0.010470571605601348,1.1891720381194535,1.2307238094630928,100
ep_dispersion,linear_dense,0.35416666666666663,0.10944136795142724,0.010944136795142724,0.3324511249181145,0.37588220841521874,100,0.5166666666666666,0.08755309436114178,0.008755309436114179,0.4992942332678249,0.5340391000655083,100,1.152390936685543,0.05615998174241223,0.005615998174241223,1.1412475779085718,1.163534295462514,100
ep_dispersion,linear_medium,0.47916666666666674,0.11627821333174541,0.011627821333174542,0.4560945464682675,0.502238786865066,100,0.6249999999999999,0.13953385599809448,0.013953385599809447,0.5973134557619209,0.6526865442380789,100,1.135352389995718,0.05625904499944958,0.005625904499944958,1.1241893749193583,1.1465154050720778,100
ep_dispersion,linear_sparse,0.6091666666666667,0.04220194888080194,0.0042201948880801945,0.6007928844310677,0.6175404489022658,100,0.938,0.10128467731392471,0.010128467731392471,0.9179029226345623,0.9580970773654376,100,0.6543003731213765,0.04493040677781413,0.004493040677781413,0.6453852056447045,0.6632155405980484,100
ep_dispersion,linear_weak,0.53,0.1157612776392581,0.01157612776392581,0.5070304510579882,0.5529695489420119,100,0.564,0.13891353316710972,0.013891353316710972,0.5364365412695856,0.5915634587304143,100,1.9356663867709911,0.07122170768894841,0.007122170768894841,1.9215344547998103,1.949798318742172,100
ep_dispersion,nonlinear,0.5241666666666667,0.09423253112082147,0.009423253112082147,0.5054688881033164,0.542864445230017,100,0.571,0.11307903734498578,0.011307903734498578,0.5485626657239795,0.5934373342760204,100,1.2189350128830514,0.1081391697457772,0.01081391697457772,1.1974778555098868,1.240392170256216,100
ep_dispersion,nonlinear_panel,0.5474999999999999,0.10068159966838287,0.010068159966838287,0.5275225863232983,0.5674774136767015,100,0.5429999999999999,0.12081791960205941,0.01208179196020594,0.519027103587958,0.5669728964120418,100,1.1988118397004808,0.10364532284763676,0.010364532284763677,1.1782463590465937,1.2193773203543679,100
ep_refresh,linear_dense,0.37583333333333324,0.11015688740552348,0.011015688740552348,0.35397581700178593,0.39769084966488055,100,0.4993333333333333,0.08812550992441877,0.008812550992441878,0.48184732026809546,0.5168193463985711,100,1.1533664298808741,0.05832883511200924,0.005832883511200924,1.1417927235417737,1.1649401362199745,100
ep_refresh,linear_medium,0.4966666666666667,0.11106059457696506,0.011106059457696505,0.47462983522624197,0.5187034981070915,100,0.604,0.13327271349235809,0.013327271349235809,0.5775558022714903,0.6304441977285097,100,1.1437464149064513,0.05516026305020522,0.005516026305020522,1.132801422007062,1.1546914078058408,100
