candidate,comparator,scene,metric,mean,sd,se,ci_low,ci_high,n
dl_score_only,deep_lasso,linear_weak,FDP,-0.0024999999999999996,0.022016089413007166,0.0022016089413007165,-0.006868469781921966,0.0018684697819219666,100
tabm_budget_gate,tabm,linear_weak,FDP,0.0125,0.07618775172497771,0.007618775172497772,-0.0026173028470035664,0.027617302847003568,100
ep_refresh,ep_regression,linear_weak,FDP,0.3566666666666667,0.1111616046884101,0.011116160468841011,0.33460979262870166,0.3787235407046317,100
ep_dispersion,ep_regression,linear_weak,FDP,0.3350000000000001,0.12019671493257882,0.012019671493257882,0.3111503640715121,0.35884963592848806,100
vtfs_cardinality,vtfs,linear_weak,FDP,-0.04833333333333333,0.14073520279730053,0.014073520279730054,-0.07625825083977492,-0.020408415826891742,100
vtfs_pairrank,vtfs_cardinality,linear_weak,FDP,-0.006666666666666666,0.0915019947284304,0.00915019947284304,-0.02482264757036764,0.011489314237034308,100
random_k_search,vtfs,linear_weak,FDP,-0.02583333333333333,0.13848172641972858,0.01384817264197286,-0.05331111223695466,0.0016444455702879987,100
dl_jacobian,xgboost_shap,linear_weak,FDP,-0.008333333333333333,0.06433201617604543,0.006433201617604543,-0.021098201035457346,0.004431534368790679,100
dl_jacobian_lossrank,xgboost_shap,linear_weak,FDP,-0.010000000000000002,0.06624445427098825,0.0066244454270988256,-0.023144336910793668,0.0031443369107936638,100
dl_score_only,xgboost_shap,linear_weak,FDP,0.025000000000000005,0.06855490889140518,0.006855490889140519,0.011397218766854057,0.03860278123314595,100
tabm_budget_gate,xgboost_shap,linear_weak,FDP,0.019166666666666665,0.07092364019490309,0.007092364019490309,0.005093877752923737,0.033239455580409596,100
ep_regression,xgboost_shap,linear_weak,FDP,-0.025833333333333333,0.05886005583449192,0.005886005583449192,-0.037512445388687976,-0.014154221277978692,100
ep_refresh,xgboost_shap,linear_weak,FDP,0.33083333333333337,0.11013141318713222,0.011013141318713223,0.3089808716393819,0.3526857950272848,100
ep_dispersion,xgboost_shap,linear_weak,FDP,0.3091666666666667,0.11501658983446375,0.011501658983446374,0.2863448799412403,0.3319884533920931,100
vtfs_cardinality,xgboost_shap,linear_weak,FDP,0.27083333333333337,0.10879853497231115,0.010879853497231116,0.24924534359419637,0.2924213230724704,100
vtfs_pairrank,xgboost_shap,linear_weak,FDP,0.2641666666666667,0.10859202472508975,0.010859202472508975,0.2426196530408494,0.285713680292484,100
random_k_search,xgboost_shap,linear_weak,FDP,0.29333333333333333,0.10950864650250375,0.010950864650250376,0.27160444206062934,0.31506222460603733,100
ep_dispersion,ep_refresh,linear_weak,FDP,-0.02166666666666667,0.12680791345014808,0.012680791345014809,-0.04682810781198964,0.003494774478656301,100
vtfs_pairrank,random_k_search,linear_weak,FDP,-0.029166666666666664,0.10485881160098262,0.010485881160098262,-0.049972929816039166,-0.008360403517294161,100
vtfs_cardinality,random_k_search,linear_weak,FDP,-0.0225,0.10109876159458928,0.010109876159458927,-0.042560187653251896,-0.0024398123467480985,100
dl_jacobian,dl_score_only,linear_weak,FDP,-0.03333333333333334,0.07007291376521015,0.007007291376521015,-0.047237319666786945,-0.01942934699987973,100
dl_jacobian,dl_jacobian_lossrank,linear_weak,FDP,0.0016666666666666666,0.01666666666666667,0.001666666666666667,-0.001640361585847805,0.004973694919181138,100
dl_jacobian,deep_lasso,linear_weak,power,0.04299999999999999,0.08675403521602107,0.008675403521602107,0.025786117271258967,0.06021388272874101,100
dl_jacobian_lossrank,deep_lasso,linear_weak,power,0.044999999999999984,0.0868936421753919,0.00868936421753919,0.027758416221725743,0.062241583778274226,100
dl_score_only,deep_lasso,linear_weak,power,0.002999999999999999,0.026419307295608593,0.0026419307295608594,-0.0022421637383063598,0.008242163738306357,100
tabm_budget_gate,tabm,linear_weak,power,-0.015,0.09142530206997326,0.009142530206997327,-0.033140763416404276,0.0031407634164042804,100
ep_refresh,ep_regression,linear_weak,power,-0.428,0.13339392562609212,0.013339392562609211,-0.45446824884555803,-0.40153175115444195,100
ep_dispersion,ep_regression,linear_weak,power,-0.402,0.14423605791909455,0.014423605791909455,-0.4306195631141856,-0.37338043688581446,100
vtfs_cardinality,vtfs,linear_weak,power,0.05799999999999999,0.16888224335676064,0.016888224335676064,0.02449009899227008,0.0915099010077299,100
vtfs_pairrank,vtfs_cardinality,linear_weak,power,0.008000000000000005,0.10980239367411648,0.010980239367411649,-0.013787177084441162,0.029787177084441174,100
random_k_search,vtfs,linear_weak,power,0.030999999999999993,0.1661780717036743,0.01661780717036743,-0.0019733346843456012,0.06397333468434559,100
dl_jacobian,xgboost_shap,linear_weak,power,0.009999999999999997,0.07719841941125452,0.007719841941125452,-0.005317841242548818,0.02531784124254881,100
dl_jacobian_lossrank,xgboost_shap,linear_weak,power,0.011999999999999997,0.07949334512518592,0.007949334512518592,-0.003773204292952404,0.027773204292952398,100
dl_score_only,xgboost_shap,linear_weak,power,-0.03,0.08226589066968623,0.008226589066968623,-0.04632333747977514,-0.013676662520224859,100
tabm_budget_gate,xgboost_shap,linear_weak,power,-0.023,0.08510836823388368,0.008510836823388369,-0.03988734669649151,-0.006112653303508488,100
ep_regression,xgboost_shap,linear_weak,power,0.030999999999999993,0.07063206700139028,0.007063206700139028,0.01698506553357443,0.04501493446642556,100
ep_refresh,xgboost_shap,linear_weak,power,-0.397,0.13215769582455864,0.013215769582455864,-0.4232229540327418,-0.37077704596725825,100
ep_dispersion,xgboost_shap,linear_weak,power,-0.371,0.13801990780135648,0.013801990780135647,-0.3983861440705117,-0.3436138559294883,100
vtfs_cardinality,xgboost_shap,linear_weak,power,-0.32499999999999996,0.13055824196677338,0.013055824196677338,-0.35090558768696434,-0.2990944123130356,100
vtfs_pairrank,xgboost_shap,linear_weak,power,-0.317,0.13031042967010767,0.013031042967010766,-0.34285641635098074,-0.29114358364901927,100
random_k_search,xgboost_shap,linear_weak,power,-0.352,0.13141037580300446,0.013141037580300446,-0.3780746695272448,-0.3259253304727552,100
ep_dispersion,ep_refresh,linear_weak,power,0.025999999999999995,0.1521694961401777,0.01521694961401777,-0.00419372937438757,0.05619372937438756,100
vtfs_pairrank,random_k_search,linear_weak,power,0.035,0.12583057392117916,0.012583057392117916,0.010032484220752997,0.05996751577924701,100
vtfs_cardinality,random_k_search,linear_weak,power,0.026999999999999993,0.1213185139135071,0.012131851391350711,0.0029277748160977148,0.05107222518390227,100
dl_jacobian,dl_score_only,linear_weak,power,0.039999999999999994,0.08408749651825217,0.008408749651825217,0.023315216399855666,0.056684783600144326,100
dl_jacobian,dl_jacobian_lossrank,linear_weak,power,-0.0019999999999999996,0.019999999999999993,0.001999999999999999,-0.005968433903017363,0.001968433903017364,100
dl_jacobian,deep_lasso,linear_weak,rmse,-0.004132325777650849,0.01564539372969793,0.001564539372969793,-0.007236711322800278,-0.0010279402325014202,100
dl_jacobian_lossrank,deep_lasso,linear_weak,rmse,-0.004816551818889941,0.015447606849341917,0.0015447606849341917,-0.007881692155960527,-0.0017514114818193544,100
