method,scenario,rep,rmse_at_12,seconds,rule,FDP,power,discoveries,FDP_gt_0.2
xgboost_shap,linear_sparse,73,0.6707300797624816,0.5972513339947909,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,73,0.6707300797624816,0.5972513339947909,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,73,0.6707300797624816,0.5972513339947909,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,73,0.6707300797624816,0.5972513339947909,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,73,0.6707300797624816,0.5972513339947909,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,74,0.6062996166994951,0.6044194169808179,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,74,0.6062996166994951,0.6044194169808179,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,74,0.6062996166994951,0.6044194169808179,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,74,0.6062996166994951,0.6044194169808179,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,74,0.6062996166994951,0.6044194169808179,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,75,0.6068830485475754,0.624221749836579,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,75,0.6068830485475754,0.624221749836579,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,75,0.6068830485475754,0.624221749836579,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,75,0.6068830485475754,0.624221749836579,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,75,0.6068830485475754,0.624221749836579,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,76,0.6180558171398555,0.6111235420685261,top4,0.0,0.8,4,False
xgboost_shap,linear_sparse,76,0.6180558171398555,0.6111235420685261,top8,0.375,1.0,8,True
xgboost_shap,linear_sparse,76,0.6180558171398555,0.6111235420685261,top10,0.5,1.0,10,True
xgboost_shap,linear_sparse,76,0.6180558171398555,0.6111235420685261,top12,0.5833333333333334,1.0,12,True
xgboost_shap,linear_sparse,76,0.6180558171398555,0.6111235420685261,top14,0.6428571428571429,1.0,14,True
xgboost_shap,linear_sparse,77,0.6147051715663011,0.5887316251173615,top4,0.0,0.8,4,False
