method,scene,rep,rule,theory_regime,nominal_invalid_control,FDP,power,size,false_count,rmse
linear_orbit_student,global_null,6,top8,True,False,1.0,,8,8,
linear_orbit_student,global_null,6,native,True,False,0.0,,0,0,1.001036077442333
linear_orbit_student,global_null,6,native10,True,False,0.0,,0,0,
xgb_shap,global_null,6,top12,True,False,1.0,,12,12,1.0219682557931031
xgb_shap,global_null,6,top8,True,False,1.0,,8,8,
xgb_pfi,global_null,6,top12,True,False,1.0,,12,12,1.0100750905988045
xgb_pfi,global_null,6,top8,True,False,1.0,,8,8,
tabm_pfi,global_null,6,top12,True,False,1.0,,12,12,1.0165116698273977
tabm_pfi,global_null,6,top8,True,False,1.0,,8,8,
deep_lasso,global_null,6,top12,True,False,1.0,,12,12,1.015606960783361
deep_lasso,global_null,6,top8,True,False,1.0,,8,8,
xgb_naive,global_null,6,top12,True,True,1.0,,12,12,1.0063790614333805
xgb_naive,global_null,6,top8,True,True,1.0,,8,8,
xgb_naive,global_null,6,native,True,True,0.0,,0,0,1.001036077442333
xgb_naive,global_null,6,native10,True,True,0.0,,0,0,
xgb_midpoint,global_null,6,top12,True,False,1.0,,12,12,1.0132929528920247
xgb_midpoint,global_null,6,top8,True,False,1.0,,8,8,
xgb_midpoint,global_null,6,native,True,False,0.0,,0,0,1.001036077442333
xgb_midpoint,global_null,6,native10,True,False,0.0,,0,0,
xgb_orbit,global_null,6,top12,True,False,1.0,,12,12,1.0129468144665996
xgb_orbit,global_null,6,top8,True,False,1.0,,8,8,
xgb_orbit,global_null,6,native,True,False,0.0,,0,0,1.001036077442333
xgb_orbit,global_null,6,native10,True,False,0.0,,0,0,
xgb_orbit_student,global_null,6,top12,True,False,1.0,,12,12,1.0067136580057556
xgb_orbit_student,global_null,6,top8,True,False,1.0,,8,8,
xgb_orbit_student,global_null,6,native,True,False,0.0,,0,0,1.001036077442333
xgb_orbit_student,global_null,6,native10,True,False,0.0,,0,0,
tabm_naive,global_null,6,top12,True,True,1.0,,12,12,1.0082830218786536
tabm_naive,global_null,6,top8,True,True,1.0,,8,8,
tabm_naive,global_null,6,native,True,True,0.0,,0,0,1.001036077442333
tabm_naive,global_null,6,native10,True,True,0.0,,0,0,
tabm_midpoint,global_null,6,top12,True,False,1.0,,12,12,1.0207419116899357
tabm_midpoint,global_null,6,top8,True,False,1.0,,8,8,
tabm_midpoint,global_null,6,native,True,False,0.0,,0,0,1.001036077442333
tabm_midpoint,global_null,6,native10,True,False,0.0,,0,0,
tabm_orbit,global_null,6,top12,True,False,1.0,,12,12,1.0207419116899357
tabm_orbit,global_null,6,top8,True,False,1.0,,8,8,
tabm_orbit,global_null,6,native,True,False,0.0,,0,0,1.001036077442333
tabm_orbit,global_null,6,native10,True,False,0.0,,0,0,
tabm_orbit_student,global_null,6,top12,True,False,1.0,,12,12,1.0207419116899357
tabm_orbit_student,global_null,6,top8,True,False,1.0,,8,8,
tabm_orbit_student,global_null,6,native,True,False,0.0,,0,0,1.001036077442333
tabm_orbit_student,global_null,6,native10,True,False,0.0,,0,0,
lasso_pair_q20,global_null,7,top12,True,False,1.0,,12,12,1.0312522788547103
lasso_pair_q20,global_null,7,top8,True,False,1.0,,8,8,
lasso_pair_q20,global_null,7,native,True,False,0.0,,0,0,1.0103972487187922
lasso_pair_q20,global_null,7,native10,True,False,0.0,,0,0,
linear_orbit_student,global_null,7,top12,True,False,1.0,,12,12,1.0378691935572655
linear_orbit_student,global_null,7,top8,True,False,1.0,,8,8,
linear_orbit_student,global_null,7,native,True,False,0.0,,0,0,1.0103972487187922
linear_orbit_student,global_null,7,native10,True,False,0.0,,0,0,
xgb_shap,global_null,7,top12,True,False,1.0,,12,12,1.0510323826160823
xgb_shap,global_null,7,top8,True,False,1.0,,8,8,
xgb_pfi,global_null,7,top12,True,False,1.0,,12,12,1.0253921387299567
xgb_pfi,global_null,7,top8,True,False,1.0,,8,8,
tabm_pfi,global_null,7,top12,True,False,1.0,,12,12,1.0265219711503613
tabm_pfi,global_null,7,top8,True,False,1.0,,8,8,
deep_lasso,global_null,7,top12,True,False,1.0,,12,12,1.0302739416081907
deep_lasso,global_null,7,top8,True,False,1.0,,8,8,
xgb_naive,global_null,7,top12,True,True,1.0,,12,12,1.0347681523112817
xgb_naive,global_null,7,top8,True,True,1.0,,8,8,
