method,fraction,group,run,native_size
xgb_sko_quad_scale,0.5,24,half_24_B,0.0
tabm_sko_ridge,0.5,24,half_24_B,0.0
tabm_sko_quad,0.5,24,half_24_B,0.0
tabm_sko_scale,0.5,24,half_24_B,0.0
tabm_sko_quad_scale,0.5,24,half_24_B,12.0
xgb_sko_ridge,0.5,25,half_25_A,5.0
xgb_sko_quad,0.5,25,half_25_A,11.0
xgb_sko_scale,0.5,25,half_25_A,5.0
xgb_sko_quad_scale,0.5,25,half_25_A,12.0
tabm_sko_ridge,0.5,25,half_25_A,7.0
tabm_sko_quad,0.5,25,half_25_A,5.0
tabm_sko_scale,0.5,25,half_25_A,11.0
tabm_sko_quad_scale,0.5,25,half_25_A,17.0
xgb_sko_ridge,0.5,25,half_25_B,0.0
xgb_sko_quad,0.5,25,half_25_B,0.0
xgb_sko_scale,0.5,25,half_25_B,6.0
xgb_sko_quad_scale,0.5,25,half_25_B,12.0
tabm_sko_ridge,0.5,25,half_25_B,0.0
tabm_sko_quad,0.5,25,half_25_B,0.0
tabm_sko_scale,0.5,25,half_25_B,0.0
tabm_sko_quad_scale,0.5,25,half_25_B,7.0
xgb_sko_ridge,0.5,26,half_26_A,0.0
xgb_sko_quad,0.5,26,half_26_A,0.0
xgb_sko_scale,0.5,26,half_26_A,5.0
xgb_sko_quad_scale,0.5,26,half_26_A,0.0
tabm_sko_ridge,0.5,26,half_26_A,0.0
tabm_sko_quad,0.5,26,half_26_A,0.0
tabm_sko_scale,0.5,26,half_26_A,0.0
tabm_sko_quad_scale,0.5,26,half_26_A,0.0
xgb_sko_ridge,0.5,26,half_26_B,0.0
xgb_sko_quad,0.5,26,half_26_B,0.0
xgb_sko_scale,0.5,26,half_26_B,0.0
xgb_sko_quad_scale,0.5,26,half_26_B,0.0
tabm_sko_ridge,0.5,26,half_26_B,0.0
tabm_sko_quad,0.5,26,half_26_B,0.0
tabm_sko_scale,0.5,26,half_26_B,7.0
tabm_sko_quad_scale,0.5,26,half_26_B,7.0
xgb_sko_ridge,0.5,27,half_27_A,14.0
xgb_sko_quad,0.5,27,half_27_A,0.0
xgb_sko_scale,0.5,27,half_27_A,18.0
xgb_sko_quad_scale,0.5,27,half_27_A,7.0
tabm_sko_ridge,0.5,27,half_27_A,5.0
tabm_sko_quad,0.5,27,half_27_A,11.0
tabm_sko_scale,0.5,27,half_27_A,10.0
