method,scene,rep,rule,FDP,power,size,false_count,rmse,theory_regime,nominal_invalid_control
tabm_sko_quad_scale,linear_sparse,58,native10,0.0,0.0,0,0,,,
xgb_sko_ridge,mixed_copula,39,top12,0.5833333333333334,0.5,12,7,1.0051728960228135,,
xgb_sko_ridge,mixed_copula,39,top8,0.375,0.5,8,3,,,
xgb_sko_ridge,mixed_copula,39,native,0.0,0.0,0,0,1.164359528282912,,
xgb_sko_ridge,mixed_copula,39,native10,0.0,0.0,0,0,,,
xgb_sko_quad,mixed_copula,39,top12,0.3333333333333333,0.8,12,4,0.8695819955514308,,
xgb_sko_quad,mixed_copula,39,top8,0.0,0.8,8,0,,,
xgb_sko_quad,mixed_copula,39,native,0.0,0.8,8,0,0.8699819622728275,,
xgb_sko_quad,mixed_copula,39,native10,0.0,0.0,0,0,,,
xgb_sko_scale,mixed_copula,39,top12,0.3333333333333333,0.8,12,4,0.8807435879056976,,
xgb_sko_scale,mixed_copula,39,top8,0.0,0.8,8,0,,,
xgb_sko_scale,mixed_copula,39,native,0.0,0.6,6,0,0.9336284044307093,,
xgb_sko_scale,mixed_copula,39,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,mixed_copula,39,top12,0.3333333333333333,0.8,12,4,0.8713340383559516,,
xgb_sko_quad_scale,mixed_copula,39,top8,0.0,0.8,8,0,,,
xgb_sko_quad_scale,mixed_copula,39,native,0.2727272727272727,0.8,11,3,0.8700580442393242,,
xgb_sko_quad_scale,mixed_copula,39,native10,0.0,0.0,0,0,,,
tabm_sko_ridge,mixed_copula,39,top12,0.5,0.6,12,6,0.9546842527271178,,
tabm_sko_ridge,mixed_copula,39,top8,0.375,0.5,8,3,,,
tabm_sko_ridge,mixed_copula,39,native,0.0,0.0,0,0,1.164359528282912,,
tabm_sko_ridge,mixed_copula,39,native10,0.0,0.0,0,0,,,
tabm_sko_quad,mixed_copula,39,top12,0.16666666666666666,1.0,12,2,0.8326352850756884,,
tabm_sko_quad,mixed_copula,39,top8,0.0,0.8,8,0,,,
tabm_sko_quad,mixed_copula,39,native,0.3333333333333333,1.0,15,5,0.8319761247096726,,
tabm_sko_quad,mixed_copula,39,native10,0.16666666666666666,1.0,12,2,,,
tabm_sko_scale,mixed_copula,39,top12,0.4166666666666667,0.7,12,5,0.9126878763564155,,
tabm_sko_scale,mixed_copula,39,top8,0.125,0.7,8,1,,,
tabm_sko_scale,mixed_copula,39,native,0.0,0.0,0,0,1.164359528282912,,
tabm_sko_scale,mixed_copula,39,native10,0.0,0.0,0,0,,,
tabm_sko_quad_scale,mixed_copula,39,top12,0.16666666666666666,1.0,12,2,0.8287272995832295,,
tabm_sko_quad_scale,mixed_copula,39,top8,0.0,0.8,8,0,,,
tabm_sko_quad_scale,mixed_copula,39,native,0.3333333333333333,1.0,15,5,0.8319761247096726,,
tabm_sko_quad_scale,mixed_copula,39,native10,0.23076923076923078,1.0,13,3,,,
xgb_sko_ridge,misspecified_t,73,top12,0.75,0.3,12,9,1.20130759053219,,
xgb_sko_ridge,misspecified_t,73,top8,0.75,0.2,8,6,,,
xgb_sko_ridge,misspecified_t,73,native,0.0,0.0,0,0,1.3036579330921536,,
xgb_sko_ridge,misspecified_t,73,native10,0.0,0.0,0,0,,,
xgb_sko_quad,misspecified_t,73,top12,0.5833333333333334,0.5,12,7,1.1509080152936608,,
xgb_sko_quad,misspecified_t,73,top8,0.375,0.5,8,3,,,
xgb_sko_quad,misspecified_t,73,native,0.0,0.0,0,0,1.3036579330921536,,
xgb_sko_quad,misspecified_t,73,native10,0.0,0.0,0,0,,,
xgb_sko_scale,misspecified_t,73,top12,0.6666666666666666,0.4,12,8,1.1275382511644298,,
xgb_sko_scale,misspecified_t,73,top8,0.5,0.4,8,4,,,
xgb_sko_scale,misspecified_t,73,native,0.0,0.0,0,0,1.3036579330921536,,
xgb_sko_scale,misspecified_t,73,native10,0.0,0.0,0,0,,,
xgb_sko_quad_scale,misspecified_t,73,top12,0.5,0.6,12,6,1.1636898932501838,,
xgb_sko_quad_scale,misspecified_t,73,top8,0.375,0.5,8,3,,,
xgb_sko_quad_scale,misspecified_t,73,native,0.0,0.0,0,0,1.3036579330921536,,
xgb_sko_quad_scale,misspecified_t,73,native10,0.0,0.0,0,0,,,
tabm_sko_ridge,misspecified_t,73,top12,0.6666666666666666,0.4,12,8,1.166163774889895,,
tabm_sko_ridge,misspecified_t,73,top8,0.5,0.4,8,4,,,
tabm_sko_ridge,misspecified_t,73,native,0.0,0.0,0,0,1.3036579330921536,,
tabm_sko_ridge,misspecified_t,73,native10,0.0,0.0,0,0,,,
tabm_sko_quad,misspecified_t,73,top12,0.4166666666666667,0.7,12,5,1.1133790706194424,,
tabm_sko_quad,misspecified_t,73,top8,0.375,0.5,8,3,,,
tabm_sko_quad,misspecified_t,73,native,0.0,0.0,0,0,1.3036579330921536,,
tabm_sko_quad,misspecified_t,73,native10,0.0,0.0,0,0,,,
tabm_sko_scale,misspecified_t,73,top12,0.5833333333333334,0.5,12,7,1.1753147359598333,,
tabm_sko_scale,misspecified_t,73,top8,0.5,0.4,8,4,,,
tabm_sko_scale,misspecified_t,73,native,0.0,0.0,0,0,1.3036579330921536,,
