method,run,fraction,size,empty
tabm_naive,half_26_B,0.5,5,False
tabm_midpoint,half_26_B,0.5,5,False
tabm_orbit,half_26_B,0.5,5,False
tabm_orbit_student,half_26_B,0.5,0,True
lasso_pair_q20,half_27_A,0.5,0,True
linear_orbit_student,half_27_A,0.5,0,True
xgb_naive,half_27_A,0.5,0,True
xgb_midpoint,half_27_A,0.5,0,True
xgb_orbit,half_27_A,0.5,0,True
xgb_orbit_student,half_27_A,0.5,0,True
tabm_naive,half_27_A,0.5,0,True
tabm_midpoint,half_27_A,0.5,0,True
tabm_orbit,half_27_A,0.5,0,True
tabm_orbit_student,half_27_A,0.5,0,True
lasso_pair_q20,half_27_B,0.5,0,True
linear_orbit_student,half_27_B,0.5,0,True
xgb_naive,half_27_B,0.5,0,True
xgb_midpoint,half_27_B,0.5,0,True
xgb_orbit,half_27_B,0.5,0,True
xgb_orbit_student,half_27_B,0.5,0,True
tabm_naive,half_27_B,0.5,0,True
tabm_midpoint,half_27_B,0.5,0,True
tabm_orbit,half_27_B,0.5,0,True
tabm_orbit_student,half_27_B,0.5,0,True
lasso_pair_q20,half_28_A,0.5,7,False
linear_orbit_student,half_28_A,0.5,0,True
xgb_naive,half_28_A,0.5,0,True
xgb_midpoint,half_28_A,0.5,0,True
xgb_orbit,half_28_A,0.5,0,True
xgb_orbit_student,half_28_A,0.5,0,True
tabm_naive,half_28_A,0.5,5,False
tabm_midpoint,half_28_A,0.5,5,False
tabm_orbit,half_28_A,0.5,5,False
tabm_orbit_student,half_28_A,0.5,0,True
lasso_pair_q20,half_28_B,0.5,0,True
linear_orbit_student,half_28_B,0.5,0,True
xgb_naive,half_28_B,0.5,0,True
xgb_midpoint,half_28_B,0.5,0,True
xgb_orbit,half_28_B,0.5,0,True
xgb_orbit_student,half_28_B,0.5,0,True
tabm_naive,half_28_B,0.5,0,True
tabm_midpoint,half_28_B,0.5,0,True
tabm_orbit,half_28_B,0.5,0,True
tabm_orbit_student,half_28_B,0.5,0,True
lasso_pair_q20,half_29_A,0.5,0,True
linear_orbit_student,half_29_A,0.5,0,True
xgb_naive,half_29_A,0.5,0,True
xgb_midpoint,half_29_A,0.5,0,True
xgb_orbit,half_29_A,0.5,0,True
xgb_orbit_student,half_29_A,0.5,7,False
tabm_naive,half_29_A,0.5,0,True
tabm_midpoint,half_29_A,0.5,0,True
tabm_orbit,half_29_A,0.5,0,True
tabm_orbit_student,half_29_A,0.5,0,True
lasso_pair_q20,half_29_B,0.5,5,False
linear_orbit_student,half_29_B,0.5,7,False
xgb_naive,half_29_B,0.5,5,False
xgb_midpoint,half_29_B,0.5,5,False
xgb_orbit,half_29_B,0.5,0,True
xgb_orbit_student,half_29_B,0.5,0,True
tabm_naive,half_29_B,0.5,0,True
tabm_midpoint,half_29_B,0.5,0,True
tabm_orbit,half_29_B,0.5,0,True
tabm_orbit_student,half_29_B,0.5,0,True
lasso_pair_q20,f70_00,0.7,7,False
linear_orbit_student,f70_00,0.7,15,False
xgb_naive,f70_00,0.7,0,True
xgb_midpoint,f70_00,0.7,0,True
xgb_orbit,f70_00,0.7,0,True
xgb_orbit_student,f70_00,0.7,0,True
tabm_naive,f70_00,0.7,10,False
tabm_midpoint,f70_00,0.7,10,False
tabm_orbit,f70_00,0.7,10,False
tabm_orbit_student,f70_00,0.7,0,True
lasso_pair_q20,f70_01,0.7,5,False
linear_orbit_student,f70_01,0.7,7,False
xgb_naive,f70_01,0.7,0,True
